Company,Ticker,Ex-Date,Event Type,Value/Ratio
Inditex,ITX.MC,2012-11-02,Dividend/Bonus Issue,0.18
Inditex,ITX.MC,2013-05-02,Dividend/Bonus Issue,0.22
Inditex,ITX.MC,2013-11-04,Dividend/Bonus Issue,0.22
Inditex,ITX.MC,2014-05-02,Dividend/Bonus Issue,0.242
Inditex,ITX.MC,2014-07-28,Stock Split,5.0
Inditex,ITX.MC,2014-11-03,Dividend/Bonus Issue,0.242
Inditex,ITX.MC,2015-05-04,Dividend/Bonus Issue,0.26
Inditex,ITX.MC,2015-11-03,Dividend/Bonus Issue,0.26
Inditex,ITX.MC,2016-04-28,Dividend/Bonus Issue,0.3
Inditex,ITX.MC,2016-10-31,Dividend/Bonus Issue,0.3
Inditex,ITX.MC,2017-04-27,Dividend/Bonus Issue,0.34
Inditex,ITX.MC,2017-10-31,Dividend/Bonus Issue,0.34
Inditex,ITX.MC,2018-04-27,Dividend/Bonus Issue,0.375
Inditex,ITX.MC,2018-10-31,Dividend/Bonus Issue,0.375
Inditex,ITX.MC,2019-04-29,Dividend/Bonus Issue,0.44
Inditex,ITX.MC,2019-10-31,Dividend/Bonus Issue,0.44
Inditex,ITX.MC,2020-10-29,Dividend/Bonus Issue,0.7
Inditex,ITX.MC,2021-04-29,Dividend/Bonus Issue,0.35
Inditex,ITX.MC,2021-10-29,Dividend/Bonus Issue,0.35
Inditex,ITX.MC,2022-04-28,Dividend/Bonus Issue,0.465
Inditex,ITX.MC,2022-10-31,Dividend/Bonus Issue,0.465
Inditex,ITX.MC,2023-04-27,Dividend/Bonus Issue,0.6
Inditex,ITX.MC,2023-10-31,Dividend/Bonus Issue,0.6
Inditex,ITX.MC,2024-04-29,Dividend/Bonus Issue,0.77
Inditex,ITX.MC,2024-10-31,Dividend/Bonus Issue,0.77
Inditex,ITX.MC,2025-04-29,Dividend/Bonus Issue,0.84
Inditex,ITX.MC,2025-10-30,Dividend/Bonus Issue,0.84
Indra Sistemas,IDR.MC,2010-07-05,Dividend/Bonus Issue,0.66
Indra Sistemas,IDR.MC,2011-07-04,Dividend/Bonus Issue,0.68
Indra Sistemas,IDR.MC,2012-07-04,Dividend/Bonus Issue,0.68
Indra Sistemas,IDR.MC,2013-07-09,Dividend/Bonus Issue,0.34
Indra Sistemas,IDR.MC,2014-07-08,Dividend/Bonus Issue,0.34
Indra Sistemas,IDR.MC,2022-07-08,Dividend/Bonus Issue,0.15
Indra Sistemas,IDR.MC,2023-07-10,Dividend/Bonus Issue,0.25
Indra Sistemas,IDR.MC,2024-07-09,Dividend/Bonus Issue,0.25
Indra Sistemas,IDR.MC,2025-07-08,Dividend/Bonus Issue,0.25
International Airlines Group,IAG.MC,2015-12-07,Dividend/Bonus Issue,0.066298
International Airlines Group,IAG.MC,2016-06-29,Dividend/Bonus Issue,0.066298
International Airlines Group,IAG.MC,2016-12-01,Dividend/Bonus Issue,0.072928
International Airlines Group,IAG.MC,2017-06-29,Dividend/Bonus Issue,0.082873
International Airlines Group,IAG.MC,2017-11-30,Dividend/Bonus Issue,0.082873
International Airlines Group,IAG.MC,2018-06-28,Dividend/Bonus Issue,0.096132
International Airlines Group,IAG.MC,2018-11-29,Dividend/Bonus Issue,0.096132
International Airlines Group,IAG.MC,2019-07-04,Dividend/Bonus Issue,0.341436
International Airlines Group,IAG.MC,2019-11-28,Dividend/Bonus Issue,0.096132
International Airlines Group,IAG.MC,2024-09-05,Dividend/Bonus Issue,0.03
International Airlines Group,IAG.MC,2025-06-26,Dividend/Bonus Issue,0.06
International Airlines Group,IAG.MC,2025-11-27,Dividend/Bonus Issue,0.048
Mapfre,MAP.MC,2010-06-16,Dividend/Bonus Issue,0.08
Mapfre,MAP.MC,2010-12-01,Dividend/Bonus Issue,0.07
Mapfre,MAP.MC,2011-06-22,Dividend/Bonus Issue,0.08
Mapfre,MAP.MC,2011-12-14,Dividend/Bonus Issue,0.07
Mapfre,MAP.MC,2012-06-29,Dividend/Bonus Issue,0.08
Mapfre,MAP.MC,2012-12-12,Dividend/Bonus Issue,0.04
Mapfre,MAP.MC,2013-06-28,Dividend/Bonus Issue,0.07
Mapfre,MAP.MC,2013-12-20,Dividend/Bonus Issue,0.05
